model,k,pattern,scenario,size_iu,first_topup_min,n_topups,total_topup_iu,mean_diff_iu,mean_abs_diff_iu,worst_abs_diff_iu,worst_diff_iu,worst_diff_time_min,mean_pct_error,mean_abs_pct_error,worst_abs_pct_error,pct_of_window_within_threshold,n_evaluation_points,horizon_min
prodose,0.005495688622151766,single,2500 IU at 30 min,2500.0,30.0,1,2500.0,746.2641543980461,1010.2550658978025,1728.3872902692347,1728.3872902692347,240.0,5.537615899705881,6.5069448241881025,15.239715196463983,48.97959183673469,49,240.0
prodose,0.005495688622151766,single,2500 IU at 60 min,2500.0,60.0,1,2500.0,966.7731718304849,1011.5529245823079,1713.3591826920492,1713.3591826920492,240.0,6.644155034142257,6.822116331968068,14.940852305095675,42.857142857142854,49,240.0
prodose,0.005495688622151766,single,2500 IU at 90 min,2500.0,90.0,1,2500.0,1148.4044246396115,1148.4044246396115,1691.110069245242,1691.110069245242,240.0,7.725152516474629,7.725152516474629,14.56347240522483,34.69387755102041,49,240.0
prodose,0.005495688622151766,single,2500 IU at 120 min,2500.0,120.0,1,2500.0,1283.6660017078075,1283.6660017078075,1659.7357752269454,1659.7357752269454,240.0,8.714182693141767,8.714182693141767,14.092878367248426,22.448979591836736,49,240.0
prodose,0.005495688622151766,single,5000 IU at 30 min,5000.0,30.0,1,5000.0,741.5348538444008,1052.091583850419,1820.972478633148,1820.972478633148,240.0,5.212284162096623,6.277099712585583,14.89879728385044,48.97959183673469,49,240.0
prodose,0.005495688622151766,single,5000 IU at 60 min,5000.0,60.0,1,5000.0,946.9381033198982,1012.6179053108416,1790.9162634787808,1790.9162634787808,240.0,6.078521067820812,6.320445045352058,14.356233912371673,44.89795918367347,49,240.0
prodose,0.005495688622151766,single,5000 IU at 90 min,5000.0,90.0,1,5000.0,1111.0374279263701,1111.0374279263701,1746.4180365851644,1746.4180365851644,240.0,6.871795847602831,6.871795847602831,13.682799423485065,38.775510204081634,49,240.0
prodose,0.005495688622151766,single,5000 IU at 120 min,5000.0,120.0,1,5000.0,1226.552136508672,1226.552136508672,1683.669448548575,1683.669448548575,240.0,7.53111879546343,7.53111879546343,12.85847044744775,30.612244897959183,49,240.0
prodose,0.005495688622151766,single,10000 IU at 30 min,10000.0,30.0,1,10000.0,732.0762527371086,1144.9945726359665,2006.1428553609785,2006.1428553609785,240.0,4.684674152302734,5.93704483672872,14.345819680705441,40.816326530612244,49,240.0
prodose,0.005495688622151766,single,10000 IU at 60 min,10000.0,60.0,1,10000.0,907.2679662987254,1038.7645791758266,1946.0304250522458,1946.0304250522458,240.0,5.18390779180911,5.609859745196041,13.430835164988794,46.93877551020408,49,240.0
prodose,0.005495688622151766,single,10000 IU at 90 min,10000.0,90.0,1,10000.0,1036.3034344998878,1036.3034344998878,1857.033971265013,1857.033971265013,240.0,5.558452266901331,5.558452266901331,12.32532927339729,44.89795918367347,49,240.0
prodose,0.005495688622151766,single,10000 IU at 120 min,10000.0,120.0,1,10000.0,1112.3244061104006,1112.3244061104006,1731.5367951918306,1731.5367951918306,240.0,5.7635267097294625,5.7635267097294625,11.009741125817175,42.857142857142854,49,240.0
prodose,0.005495688622151766,two_boluses,2 x 2500 IU at 60/120 min,2500.0,60.0,2,5000.0,928.8311977827261,973.610950534549,1737.292856013677,1737.292856013677,240.0,5.778300395543816,5.956261693369626,13.589221652246383,48.97959183673469,49,240.0
